mStop,mLSP,0.025,0.160,0.500,0.840,0.975,-1.000
265 , 100 , 0.1646 , 0.2205 , 0.3076 , 0.4339 , 0.5887 , 0.5092 
265 , 90 , 0.2615 , 0.3498 , 0.4922 , 0.6982 , 0.9602 , 0.8365 
265 , 80 , 0.1818 , 0.2442 , 0.3447 , 0.4918 , 0.6765 , 0.3723 
265 , 70 , 0.1364 , 0.1825 , 0.2568 , 0.3643 , 0.4994 , 0.3057 
265 , 60 , 0.0955 , 0.1284 , 0.1797 , 0.2549 , 0.3483 , 0.2582 
275 , 110 , 0.1562 , 0.21 , 0.2939 , 0.417 , 0.5716 , 0.4298 
275 , 100 , 0.2646 , 0.3558 , 0.498 , 0.7085 , 0.9698 , 0.729 
275 , 90 , 0.1934 , 0.2577 , 0.3613 , 0.5126 , 0.698 , 0.5013 
275 , 80 , 0.137 , 0.1842 , 0.2578 , 0.3657 , 0.5046 , 0.2897 
275 , 70 , 0.1064 , 0.1423 , 0.2002 , 0.2824 , 0.3857 , 0.2557 
285 , 100 , 0.1852 , 0.2478 , 0.3486 , 0.4959 , 0.6789 , 0.5497 
285 , 90 , 0.1495 , 0.1994 , 0.2773 , 0.3901 , 0.53 , 0.3985 
285 , 80 , 0.0998 , 0.133 , 0.1865 , 0.2631 , 0.3569 , 0.2043 
295 , 90 , 0.0952 , 0.128 , 0.1792 , 0.2542 , 0.3462 , 0.2317 
